# timestamp userid sessionid requestid event transaction name
1399397933.328240 2041 3 81 match_stop - abort_unless_success_or_redirect
1399398000.969992 2100 3 75 match_stop - abort_unless_success_or_redirect
1399398000.995869 1973 3 101 match_stop - abort_unless_success_or_redirect
1399398002.821746 2203 3 61 match_stop - abort_unless_success_or_redirect
1399398002.886188 2477 2 13 match_stop - abort_unless_success_or_redirect
1399398003.059923 2544 1 2 match_stop - abort_unless_success_or_redirect
1399398003.086765 2128 3 67 match_stop - abort_unless_success_or_redirect
1399398003.258764 2499 3 9 match_stop - abort_unless_success_or_redirect
1399398116.487719 2003 3 109 match_stop - abort_unless_success_or_redirect
1399398153.966340 2616 3 13 match_stop - abort_unless_success_or_redirect
1399398156.986068 2478 3 33 match_stop - abort_unless_success_or_redirect
1399398157.022255 2430 3 39 match_stop - abort_unless_success_or_redirect
1399398157.104937 2167 3 89 match_stop - abort_unless_success_or_redirect
1399398157.267949 2126 3 87 match_stop - abort_unless_success_or_redirect
1399398157.648930 2106 3 93 match_stop - abort_unless_success_or_redirect
1399398199.215188 2729 3 5 match_stop - abort_unless_success_or_redirect
1399398199.282191 2751 1 2 match_stop - abort_unless_success_or_redirect
1399398227.814855 2435 3 49 match_stop - abort_unless_success_or_redirect
1399398228.018321 2685 2 15 match_stop - abort_unless_success_or_redirect
1399398228.323515 2045 3 107 match_stop - abort_unless_success_or_redirect
1399398228.363569 2353 3 53 match_stop - abort_unless_success_or_redirect
1399398228.638073 2191 3 89 match_stop - abort_unless_success_or_redirect
1399398257.566909 2260 3 81 match_stop - abort_unless_success_or_redirect
1399398257.669050 2305 3 73 match_stop - abort_unless_success_or_redirect
1399398257.837248 2096 3 105 match_stop - abort_unless_success_or_redirect
1399398257.888827 2651 3 19 match_stop - abort_unless_success_or_redirect
1399398257.897580 2778 3 7 match_stop - abort_unless_success_or_redirect
1399398271.399265 2731 2 13 match_stop - abort_unless_success_or_redirect
1399398271.841870 2725 2 15 match_stop - abort_unless_success_or_redirect
1399398271.886846 2317 3 75 match_stop - abort_unless_success_or_redirect
1399398271.941875 2122 3 105 match_stop - abort_unless_success_or_redirect
1399398272.003592 2124 3 97 match_stop - abort_unless_success_or_redirect
1399398272.045171 2821 2 3 match_stop - abort_unless_success_or_redirect
1399398272.049611 2724 2 13 match_stop - abort_unless_success_or_redirect
1399398272.130557 2560 3 35 match_stop - abort_unless_success_or_redirect
1399398272.348315 2822 1 2 match_stop - abort_unless_success_or_redirect
1399398461.126151 2266 3 105 match_stop - abort_unless_success_or_redirect
1399398461.410575 2712 3 39 match_stop - abort_unless_success_or_redirect
1399398461.480566 2684 3 49 match_stop - abort_unless_success_or_redirect
1399398461.508420 2836 3 23 match_stop - abort_unless_success_or_redirect
1399398462.387166 2763 3 37 match_stop - abort_unless_success_or_redirect
1399398462.628896 2913 3 15 match_stop - abort_unless_success_or_redirect
1399398887.680379 3424 2 3 match_stop - abort_unless_success_or_redirect
1399398887.694319 2982 3 65 match_stop - abort_unless_success_or_redirect
