#date;pid;id;http method;host;URL;HTTP status;size;duration;transaction;match;error;tag
1399387461.749771;<0.97.0>;4;get;staging-lpa.service.dsd.io;/;200;13118;237.187;-;;;
1399387461.931696;<0.112.0>;15;get;staging-lpa.service.dsd.io;/;200;13118;180.578;-;;;
1399387461.956252;<0.111.0>;14;get;staging-lpa.service.dsd.io;/;200;13118;193.169;-;;;
1399387462.216882;<0.109.0>;12;get;staging-lpa.service.dsd.io;/;200;13118;182.768;-;;;
1399387462.427869;<0.104.0>;9;get;staging-lpa.service.dsd.io;/;200;13103;175.749;-;;;
1399387462.479436;<0.120.0>;21;get;staging-lpa.service.dsd.io;/;200;13118;184.328;-;;;
1399387462.648117;<0.137.0>;37;get;staging-lpa.service.dsd.io;/;200;13118;195.969;-;;;
1399387462.847105;<0.152.0>;49;get;staging-lpa.service.dsd.io;/;200;13118;194.996;-;;;
1399387462.860062;<0.160.0>;57;get;staging-lpa.service.dsd.io;/;200;13118;174.964;-;;;
1399387462.988718;<0.127.0>;28;get;staging-lpa.service.dsd.io;/;200;13118;184.598;-;;;
1399387463.018799;<0.156.0>;53;get;staging-lpa.service.dsd.io;/;200;13118;210.718;-;;;
1399387463.073763;<0.159.0>;56;get;staging-lpa.service.dsd.io;/;200;13118;187.656;-;;;
1399387463.090885;<0.136.0>;36;get;staging-lpa.service.dsd.io;/;200;13118;188.799;-;;;
1399387463.09647;<0.119.0>;20;get;staging-lpa.service.dsd.io;/;200;13103;176.381;-;;;
1399387463.217;<0.154.0>;51;get;staging-lpa.service.dsd.io;/;200;13118;199.896;-;;;
1399387463.218558;<0.183.0>;73;get;staging-lpa.service.dsd.io;/;200;13118;186.482;-;;;
1399387463.219438;<0.155.0>;52;get;staging-lpa.service.dsd.io;/;200;13125;213.353;-;;;
1399387463.261084;<0.172.0>;67;get;staging-lpa.service.dsd.io;/;200;13118;191.950;-;;;
1399387463.26459;<0.130.0>;30;get;staging-lpa.service.dsd.io;/;200;13111;199.523;-;;;
1399387463.477177;<0.118.0>;19;get;staging-lpa.service.dsd.io;/;200;13118;211.072;-;;;
1399387463.497897;<0.132.0>;32;get;staging-lpa.service.dsd.io;/;200;13118;173.797;-;;;
1399387463.531065;<0.166.0>;62;get;staging-lpa.service.dsd.io;/;200;13118;185.947;-;;;
1399387463.612516;<0.129.0>;29;get;staging-lpa.service.dsd.io;/;200;13118;199.415;-;;;
1399387463.652389;<0.99.0>;6;get;staging-lpa.service.dsd.io;/;200;13118;202.290;-;;;
1399387463.867362;<0.142.0>;42;get;staging-lpa.service.dsd.io;/;200;13125;193.255;-;;;
1399387463.868801;<0.171.0>;66;get;staging-lpa.service.dsd.io;/;200;13125;200.723;-;;;
1399387463.879943;<0.218.0>;98;get;staging-lpa.service.dsd.io;/;200;13118;195.868;-;;;
1399387463.881534;<0.113.0>;16;get;staging-lpa.service.dsd.io;/;200;13111;190.442;-;;;
1399387464.036598;<0.231.0>;107;get;staging-lpa.service.dsd.io;/;200;13118;189.482;-;;;
1399387464.155577;<0.200.0>;85;get;staging-lpa.service.dsd.io;/;200;13118;242.439;-;;;
1399387464.168076;<0.177.0>;70;get;staging-lpa.service.dsd.io;/;200;13111;247.954;-;;;
1399387464.170509;<0.208.0>;91;get;staging-lpa.service.dsd.io;/;200;13118;243.397;-;;;
1399387464.175609;<0.123.0>;24;get;staging-lpa.service.dsd.io;/;200;13110;221.512;-;;;
1399387464.261924;<0.139.0>;39;get;staging-lpa.service.dsd.io;/;200;13118;193.808;-;;;
1399387464.279516;<0.138.0>;38;get;staging-lpa.service.dsd.io;/;200;13118;193.424;-;;;
1399387464.303385;<0.117.0>;18;get;staging-lpa.service.dsd.io;/;200;13103;199.267;-;;;
1399387464.378452;<0.180.0>;71;get;staging-lpa.service.dsd.io;/;200;13110;200.315;-;;;
