elapsed_time,num_reqs,num_reqs_per_sec,min_req_time,max_req_time,avg_req_time,200,302,502,504
0,136,4.5333,35.914,978.431,224.8635,121,15,,
30,357,11.9,35.474,2499.276,396.5482,274,83,,
60,380,12.6667,37.218,8203.681,1353.0258,282,98,,
90,399,13.3,1070.366,11312.847,4247.5749,318,81,,
120,391,13.0333,2285.008,12699.392,5537.475,301,90,,
150,375,12.5,6345.289,17279.033,9424.623,283,92,,
180,415,13.8333,23.193,18466.232,10118.4808,318,83,14,
210,417,13.9,23.234,19265.745,11073.0514,302,88,27,
240,435,14.5,23.402,18631.625,10019.3083,321,76,38,
270,437,14.5667,22.988,20594.582,10989.2025,325,89,23,
300,473,15.7667,23.184,18950.092,10110.9775,354,84,35,
330,415,13.8333,23.531,20790.492,10678.9091,298,79,38,
360,430,14.3333,23.095,18993.915,10066.3741,299,91,40,
390,426,14.2,23.032,20925.57,11723.4696,319,85,22,
420,423,14.1,22.876,18953.16,10123.199,304,86,33,
450,407,13.5667,23.656,21212.9,11642.4052,299,85,23,
480,417,13.9,22.136,19035.223,10664.7,296,91,30,
510,392,13.0667,22.678,21405.403,11443.2577,274,90,28,
540,421,14.0333,22.555,23878.961,10592.1259,322,76,23,
570,390,13.0,22.79,27587.304,12088.2081,272,74,44,
600,415,13.8333,23.246,29322.875,10854.3053,300,89,26,
630,402,13.4,23.989,25860.144,11223.4497,283,83,36,
660,422,14.0667,22.34,26242.862,10767.2091,302,92,28,
690,434,14.4667,23.08,18899.748,10448.2624,313,96,25,
720,452,15.0667,22.527,24423.433,10196.8333,310,93,49,
750,422,14.0667,22.28,19368.831,10780.6352,307,85,30,
780,421,14.0333,22.887,26234.464,11234.4533,307,80,34,
810,394,13.1333,22.695,19512.127,11324.9803,279,90,25,
840,404,13.4667,23.36,25349.567,11693.4407,290,90,24,
870,337,11.2333,23.628,26441.359,12784.2063,239,86,12,
900,352,11.7333,9255.93,27168.485,13065.3969,253,99,,
930,291,9.7,8877.22,25558.574,14162.8947,197,94,,
960,313,10.4333,11416.287,26102.005,13765.0806,232,81,,
990,313,10.4333,10068.957,24121.969,13739.1585,242,71,,
1020,288,9.6,10911.052,24421.942,14728.9736,212,76,,
1050,300,10.0,10354.831,26721.629,13373.8257,238,62,,
1080,274,9.1333,12896.812,26086.776,15644.6187,203,71,,
1110,290,9.6667,11495.629,26770.571,15288.8342,221,69,,
1140,273,9.1,24.277,39577.422,13493.8274,200,70,3,
1170,228,7.6,25.054,48591.264,15877.2566,173,50,5,
1200,187,6.2333,22.471,57712.184,25233.4691,146,35,6,
1230,166,5.5333,14273.093,60042.389,24865.4804,122,29,,15
1260,161,5.3667,13218.574,60541.012,24431.6142,112,46,,3
1290,115,3.8333,12262.172,60026.55,27617.5967,73,28,,14
1320,143,4.7667,14955.987,60025.142,28631.2451,103,30,,10
1350,157,5.2333,3411.181,60024.835,20887.276,105,39,,13
1380,22,0.7333,10674.615,60021.683,17322.055,15,6,,1
