#date;pid;id;http method;host;URL;HTTP status;size;duration;transaction;match;error;tag
1399555702.599873;<0.500.0>;195;post;staging-lpa.service.dsd.io;/user/register;502;10079;23.476;-;match_stop;;
1399555703.242091;<0.235.0>;68;get;staging-lpa.service.dsd.io;/create/when-to-use;502;10079;23.960;-;match_stop;;
1399555703.397862;<0.452.0>;172;get;staging-lpa.service.dsd.io;/activate/b1a3dc350f20b0dcc06626d083449230;502;10079;24.694;-;match_stop;;
1399555703.504741;<0.441.0>;167;get;staging-lpa.service.dsd.io;/user/login;502;10079;27.623;-;match_stop;;
1399555704.918979;<0.161.0>;35;post;staging-lpa.service.dsd.io;/create/add-attorney;502;10079;23.833;-;match_stop;;
1399555705.00495;<0.449.0>;171;get;staging-lpa.service.dsd.io;/user/login;502;10079;24.677;-;match_stop;;
1399555705.238176;<0.113.0>;10;post;staging-lpa.service.dsd.io;/create/add-attorney;502;10079;27.021;-;match_stop;;
1399555705.759929;<0.487.0>;189;post;staging-lpa.service.dsd.io;/user/register;502;10079;24.655;-;match_stop;;
1399555705.836883;<0.150.0>;28;get;staging-lpa.service.dsd.io;/create/attorneys;502;10079;31.715;-;match_stop;;
1399555705.837615;<0.310.0>;105;get;staging-lpa.service.dsd.io;/postcode/lookup?postcode=SW10+9LB;502;10079;32.485;-;match_stop;;
1399555705.895774;<0.375.0>;135;get;staging-lpa.service.dsd.io;/create/lpa-type;502;10079;26.584;-;match_stop;;
1399555706.016348;<0.160.0>;34;get;staging-lpa.service.dsd.io;/pdf/draft/Lasting-Power-of-Attorney-Draft.pdf;502;10079;23.193;-;match_stop;;
1399555706.281845;<0.318.0>;109;get;staging-lpa.service.dsd.io;/create/add-donor;502;10079;24.725;-;match_stop;;
1399555706.431313;<0.376.0>;136;get;staging-lpa.service.dsd.io;/create/lpa-type;502;10079;27.211;-;match_stop;;
1399555709.530864;<0.384.0>;141;post;staging-lpa.service.dsd.io;/user/login;502;10079;29.656;-;match_stop;;
1399555709.583496;<0.207.0>;54;get;staging-lpa.service.dsd.io;/address/lookup?addressid=23911113;502;10079;26.397;-;match_stop;;
1399555709.609486;<0.95.0>;2;get;staging-lpa.service.dsd.io;/postcode/lookup?postcode=SW10+9LB;502;10079;26.397;-;match_stop;;
1399555709.676372;<0.199.0>;51;post;staging-lpa.service.dsd.io;/create/when-to-use;502;10079;26.279;-;match_stop;;
1399555709.724439;<0.114.0>;11;get;staging-lpa.service.dsd.io;/address/lookup?addressid=23911113;502;10079;25.334;-;match_stop;;
1399555710.231645;<0.543.0>;216;get;staging-lpa.service.dsd.io;/?autoTestKey=I5iOAmnnQaq5JPI8JHYcdXQPlI09bQnHoeAxb7xYjTe+FLPTVHZho3zK0mu41ouPmxLXJlZYi;502;10079;168.525;-;match_stop;;
1399555710.260699;<0.242.0>;71;post;staging-lpa.service.dsd.io;/create/add-donor;502;10079;27.528;-;match_stop;;
1399555710.59294;<0.507.0>;198;get;staging-lpa.service.dsd.io;/user/register;502;10079;29.794;-;match_stop;;
1399555716.855093;<0.142.0>;23;post;staging-lpa.service.dsd.io;/create/add-replacement-attorney;502;10079;27.959;-;match_stop;;
1399555717.058503;<0.308.0>;104;get;staging-lpa.service.dsd.io;/postcode/lookup?postcode=SW10+9LB;502;10079;23.401;-;match_stop;;
1399555717.069447;<0.522.0>;205;get;staging-lpa.service.dsd.io;/user/register;502;10079;30.355;-;match_stop;;
1399555717.124336;<0.431.0>;163;get;staging-lpa.service.dsd.io;/user/login;502;10079;23.234;-;match_stop;;
1399555717.151929;<0.157.0>;31;get;staging-lpa.service.dsd.io;/create/attorneys;502;10079;25.825;-;match_stop;;
1399555717.214793;<0.408.0>;151;get;staging-lpa.service.dsd.io;/user/login;502;10079;23.645;-;match_stop;;
1399555717.251325;<0.480.0>;185;get;staging-lpa.service.dsd.io;/activate/8e8ac779423e26cb1f75f234c090ea50;502;10079;24.131;-;match_stop;;
1399555717.253953;<0.424.0>;158;post;staging-lpa.service.dsd.io;/user/login;502;10079;24.827;-;match_stop;;
1399555717.576236;<0.122.0>;15;get;staging-lpa.service.dsd.io;/address/lookup?addressid=23911113;502;10079;26.086;-;match_stop;;
