url,num_requests,avg,min,max,max_elapsed,200,302,502,504
/,900,7366.47,145.01,13618.616,589,831,0,69,0
/activate,740,8917.1,23.308,14601.01,892,705,0,35,0
/address/lookup,1219,11338.71,22.28,30495.567,1327,1166,0,53,0
/create/add-attorney,684,14169.33,22.136,30659.19,1323,349,311,24,0
/create/add-certificate-provider,259,15013.59,23.086,30413.307,1324,136,113,10,0
/create/add-donor,1415,11544.15,22.34,22108.424,592,949,404,62,0
/create/add-notified-person,150,16041.04,23.032,29849.529,1328,81,66,3,0
/create/add-replacement-attorney,227,17704.47,23.658,30164.528,1327,0,219,8,0
/create/attorneys,684,11678.1,23.374,30096.287,1327,662,0,22,0
/create/certificate-provider,358,13913.25,23.104,30756.749,1326,245,94,19,0
/create/complete,36,22335.35,5053.11,27587.304,597,36,0,0,0
/create/donor,404,10310.63,23.507,15005.806,1114,393,0,11,0
/create/lpa-type,1109,11375.06,23.001,20695.358,897,533,507,69,0
/create/people-to-be-told,155,13392.53,23.872,30325.811,1323,151,0,4,0
/create/replacement-attorneys,484,13094.51,24.173,30553.068,1327,472,0,12,0
/create/review,81,14824.02,23.848,29960.38,1325,39,36,6,0
/create/when-to-use,771,13636.32,23.575,21824.63,592,378,373,20,0
/pdf/draft/Lasting-Power-of-Attorney-Draft.pdf,561,24891.8,23.08,60541.012,1278,485,0,20,56
/postcode/lookup,1285,11317.36,22.471,30793.113,1326,1234,0,51,0
/register/applicant,68,17530.53,23.872,29322.875,605,34,32,2,0
/register/fees,21,14195.0,10021.14,27211.048,1316,0,21,0,0
/register/further-info,42,14433.65,9177.623,30319.432,1327,0,42,0,0
/register/notice-dates,53,14558.03,27.363,28220.24,1211,0,52,1,0
/user/about-you,1232,9264.69,22.848,15146.564,955,602,576,54,0
/user/login,1367,8765.45,22.887,16258.585,893,662,630,75,0
/user/register,1607,8508.88,22.527,16292.608,590,1516,0,91,0
