#date;;pid;id;http method;host;URL;;HTTP status;size;duration;transaction;match;error;tag
1399467864.13085;0;<0.94.0>;1;get;staging-lpa.service.dsd.io;/?autoTestKey=I5iOAmnnQaq5JPI8JHYcdXQPlI09bQnHoeAxb7xYjTe+FLPTVHZho3zK0mu41ouPmxLXJlZYi;/?autoTest;200;13204;230.198;-;;;
1399467864.34604;0;<0.101.0>;4;get;staging-lpa.service.dsd.io;/;/;200;13118;188.625;-;;;
1399467865.01369;0;<0.95.0>;2;get;staging-lpa.service.dsd.io;/;/;200;13118;186.529;-;;;
1399467867.68638;3;<0.100.0>;3;get;staging-lpa.service.dsd.io;/?autoTestKey=I5iOAmnnQaq5JPI8JHYcdXQPlI09bQnHoeAxb7xYjTe+FLPTVHZho3zK0mu41ouPmxLXJlZYi;/?autoTest;200;13204;196.174;-;;;
1399467870.23666;6;<0.109.0>;9;get;staging-lpa.service.dsd.io;/?autoTestKey=I5iOAmnnQaq5JPI8JHYcdXQPlI09bQnHoeAxb7xYjTe+FLPTVHZho3zK0mu41ouPmxLXJlZYi;/?autoTest;200;13204;187.488;-;;;
1399467871.04968;6;<0.106.0>;7;get;staging-lpa.service.dsd.io;/;/;200;13111;196.488;-;;;
1399467871.37582;7;<0.111.0>;11;get;staging-lpa.service.dsd.io;/;/;200;13118;189.668;-;;;
1399467871.49253;7;<0.110.0>;10;get;staging-lpa.service.dsd.io;/;/;200;13118;185.364;-;;;
1399467872.74456;8;<0.104.0>;5;get;staging-lpa.service.dsd.io;/?autoTestKey=I5iOAmnnQaq5JPI8JHYcdXQPlI09bQnHoeAxb7xYjTe+FLPTVHZho3zK0mu41ouPmxLXJlZYi;/?autoTest;200;13204;214.379;-;;;
1399467872.80507;8;<0.94.0>;1;get;staging-lpa.service.dsd.io;/user/register;/user/regi;200;9755;85.817;-;;;
1399467873.21198;9;<0.109.0>;9;get;staging-lpa.service.dsd.io;/user/register;/user/regi;200;9755;43.755;-;;;
1399467873.85068;9;<0.105.0>;6;get;staging-lpa.service.dsd.io;/;/;200;13103;216.523;-;;;
1399467873.95655;9;<0.120.0>;14;get;staging-lpa.service.dsd.io;/?autoTestKey=I5iOAmnnQaq5JPI8JHYcdXQPlI09bQnHoeAxb7xYjTe+FLPTVHZho3zK0mu41ouPmxLXJlZYi;/?autoTest;200;13197;191.383;-;;;
1399467874.28548;10;<0.120.0>;14;get;staging-lpa.service.dsd.io;/user/register;/user/regi;200;9755;47.301;-;;;
1399467874.50556;10;<0.107.0>;8;get;staging-lpa.service.dsd.io;/?autoTestKey=I5iOAmnnQaq5JPI8JHYcdXQPlI09bQnHoeAxb7xYjTe+FLPTVHZho3zK0mu41ouPmxLXJlZYi;/?autoTest;200;13189;201.379;-;;;
1399467874.98278;10;<0.94.0>;1;post;staging-lpa.service.dsd.io;/user/register;/user/regi;200;8097;668.401;-;;;
1399467875.30801;11;<0.109.0>;9;post;staging-lpa.service.dsd.io;/user/register;/user/regi;200;8097;619.579;-;;;
1399467875.62942;11;<0.109.0>;9;get;staging-lpa.service.dsd.io;/activate/43b3d6de97d886a7c05e6a7aa782f064;/activate/;200;7530;74.137;-;;;
1399467876.3632;12;<0.126.0>;17;get;staging-lpa.service.dsd.io;/;/;200;13118;179.062;-;;;
1399467876.40775;12;<0.117.0>;12;get;staging-lpa.service.dsd.io;/;/;200;13118;184.623;-;;;
1399467876.48025;12;<0.120.0>;14;post;staging-lpa.service.dsd.io;/user/register;/user/regi;200;8097;354.897;-;;;
