#date;pid;id;http method;host;URL;HTTP status;size;duration;transaction;match;error;tag
1399470074.158006;<0.94.0>;1;get;staging-lpa.service.dsd.io;/?autoTestKey=I5iOAmnnQaq5JPI8JHYcdXQPlI09bQnHoeAxb7xYjTe+FLPTVHZho3zK0mu41ouPmxLXJlZYi;200;13204;262.391;-;;;
1399470075.901101;<0.94.0>;1;get;staging-lpa.service.dsd.io;/user/register;200;9755;46.805;-;;;
1399470079.482537;<0.94.0>;1;post;staging-lpa.service.dsd.io;/user/register;200;8084;406.147;-;;;
1399470083.628684;<0.94.0>;1;get;staging-lpa.service.dsd.io;/activate/758fc2d9c812bbcfe2631ebf57d8f725;200;7536;85.381;-;;;
1399470085.466559;<0.101.0>;3;get;staging-lpa.service.dsd.io;/?autoTestKey=I5iOAmnnQaq5JPI8JHYcdXQPlI09bQnHoeAxb7xYjTe+FLPTVHZho3zK0mu41ouPmxLXJlZYi;200;13204;200.381;-;;;
1399470086.670496;<0.101.0>;3;get;staging-lpa.service.dsd.io;/user/register;200;9755;46.302;-;;;
1399470087.316159;<0.100.0>;2;get;staging-lpa.service.dsd.io;/;200;13111;200.948;-;;;
1399470088.149119;<0.94.0>;1;get;staging-lpa.service.dsd.io;/user/login;200;8279;43.903;-;;;
1399470090.496798;<0.101.0>;3;post;staging-lpa.service.dsd.io;/user/register;200;8097;373.435;-;;;
1399470092.236813;<0.101.0>;3;get;staging-lpa.service.dsd.io;/activate/1097048885cb36097fab0946de353db0;200;7530;84.580;-;;;
1399470094.257329;<0.94.0>;1;post;staging-lpa.service.dsd.io;/user/login;302;1;491.061;-;;;
1399470096.389475;<0.101.0>;3;get;staging-lpa.service.dsd.io;/user/login;200;8265;40.303;-;;;
1399470099.12506;<0.105.0>;4;get;staging-lpa.service.dsd.io;/?autoTestKey=I5iOAmnnQaq5JPI8JHYcdXQPlI09bQnHoeAxb7xYjTe+FLPTVHZho3zK0mu41ouPmxLXJlZYi;200;13204;202.806;-;;;
1399470099.242035;<0.105.0>;4;get;staging-lpa.service.dsd.io;/user/register;200;9755;43.810;-;;;
1399470100.399323;<0.105.0>;4;post;staging-lpa.service.dsd.io;/user/register;200;8084;482.924;-;;;
1399470100.566539;<0.101.0>;3;post;staging-lpa.service.dsd.io;/user/login;302;1;597.290;-;;;
1399470101.768553;<0.94.0>;1;get;staging-lpa.service.dsd.io;/user/about-you;200;21116;122.325;-;;;
1399470102.158381;<0.108.0>;5;get;staging-lpa.service.dsd.io;/;200;13118;198.235;-;;;
1399470102.287135;<0.101.0>;3;get;staging-lpa.service.dsd.io;/user/about-you;200;21108;117.955;-;;;
1399470102.987534;<0.110.0>;6;get;staging-lpa.service.dsd.io;/?autoTestKey=I5iOAmnnQaq5JPI8JHYcdXQPlI09bQnHoeAxb7xYjTe+FLPTVHZho3zK0mu41ouPmxLXJlZYi;200;13197;202.364;-;;;
1399470107.188848;<0.110.0>;6;get;staging-lpa.service.dsd.io;/user/register;200;9755;48.672;-;;;
1399470108.987187;<0.110.0>;6;post;staging-lpa.service.dsd.io;/user/register;200;8097;350.831;-;;;
1399470112.015869;<0.105.0>;4;get;staging-lpa.service.dsd.io;/activate/469db80773eb7e41e020974f98a6dcf1;200;7530;88.604;-;;;
1399470113.348164;<0.105.0>;4;get;staging-lpa.service.dsd.io;/user/login;200;8279;39.933;-;;;
1399470114.157409;<0.110.0>;6;get;staging-lpa.service.dsd.io;/activate/30b49afceac0052c47beb7a5350cc4c6;200;7530;80.155;-;;;
1399470115.76407;<0.105.0>;4;post;staging-lpa.service.dsd.io;/user/login;302;1;489.792;-;;;
1399470117.249721;<0.110.0>;6;get;staging-lpa.service.dsd.io;/user/login;200;8279;43.547;-;;;
1399470117.728055;<0.105.0>;4;get;staging-lpa.service.dsd.io;/user/about-you;200;21116;121.825;-;;;
1399470118.015173;<0.105.0>;4;post;staging-lpa.service.dsd.io;/user/about-you;302;1;131.918;-;;;
1399470119.812919;<0.105.0>;4;get;staging-lpa.service.dsd.io;/create/lpa-type;200;10074;83.709;-;;;
1399470122.083353;<0.105.0>;4;post;staging-lpa.service.dsd.io;/create/lpa-type;302;1;308.100;-;;;
1399470122.818869;<0.105.0>;4;get;staging-lpa.service.dsd.io;/create/add-donor;200;22734;123.623;-;;;
1399470122.88636;<0.110.0>;6;post;staging-lpa.service.dsd.io;/user/login;302;1;479.116;-;;;
1399470124.674115;<0.105.0>;4;get;staging-lpa.service.dsd.io;/create/add-donor;200;22727;121.859;-;;;
1399470124.776939;<0.105.0>;4;get;staging-lpa.service.dsd.io;/postcode/lookup?postcode=SW10+9LB;200;1;70.736;-;;;
1399470125.748247;<0.110.0>;6;get;staging-lpa.service.dsd.io;/user/about-you;200;21108;121.046;-;;;
1399470125.964621;<0.105.0>;4;get;staging-lpa.service.dsd.io;/address/lookup?addressid=23911113;200;1;71.391;-;;;
1399470127.396507;<0.115.0>;8;get;staging-lpa.service.dsd.io;/;200;13118;207.342;-;;;
1399470127.979693;<0.116.0>;9;get;staging-lpa.service.dsd.io;/?autoTestKey=I5iOAmnnQaq5JPI8JHYcdXQPlI09bQnHoeAxb7xYjTe+FLPTVHZho3zK0mu41ouPmxLXJlZYi;200;13189;179.486;-;;;
1399470128.273342;<0.116.0>;9;get;staging-lpa.service.dsd.io;/user/register;200;9755;39.169;-;;;
1399470129.540124;<0.116.0>;9;post;staging-lpa.service.dsd.io;/user/register;200;8097;338.783;-;;;
1399470130.859552;<0.116.0>;9;get;staging-lpa.service.dsd.io;/activate/d90c35af5b328bcd05a50f836a025b46;200;7536;74.291;-;;;
1399470131.504153;<0.116.0>;9;get;staging-lpa.service.dsd.io;/user/login;200;8279;38.977;-;;;
1399470132.104892;<0.120.0>;10;get;staging-lpa.service.dsd.io;/;200;13111;191.729;-;;;
1399470132.490646;<0.116.0>;9;post;staging-lpa.service.dsd.io;/user/login;302;1;473.421;-;;;
1399470134.889367;<0.114.0>;7;get;staging-lpa.service.dsd.io;/?autoTestKey=I5iOAmnnQaq5JPI8JHYcdXQPlI09bQnHoeAxb7xYjTe+FLPTVHZho3zK0mu41ouPmxLXJlZYi;200;13189;192.183;-;;;
1399470135.305259;<0.105.0>;4;post;staging-lpa.service.dsd.io;/create/add-donor;302;1;363.958;-;;;
1399470136.200278;<0.116.0>;9;get;staging-lpa.service.dsd.io;/user/about-you;200;21116;111.086;-;;;
1399470136.69006;<0.105.0>;4;get;staging-lpa.service.dsd.io;/create/donor;200;10036;83.839;-;;;
1399470140.876318;<0.105.0>;4;get;staging-lpa.service.dsd.io;/create/when-to-use;200;10640;88.087;-;;;
1399470141.983214;<0.114.0>;7;get;staging-lpa.service.dsd.io;/user/register;200;9748;42.042;-;;;
1399470142.156745;<0.105.0>;4;post;staging-lpa.service.dsd.io;/create/when-to-use;302;1;346.501;-;;;
1399470142.671162;<0.105.0>;4;get;staging-lpa.service.dsd.io;/create/attorneys;200;10523;80.948;-;;;
