elapsed_time,num_reqs,num_reqs_per_sec,min_req_time,max_req_time,avg_req_time,200,302
0,4,0.4,46.805,406.147,200.181,4,
10,6,0.6,43.903,373.435,158.2582,6,
20,10,1.0,40.303,597.29,249.9073,8,2
30,5,0.5,39.933,350.831,121.639,5,
40,8,0.8,43.547,489.792,222.7038,4,4
50,12,1.2,38.977,473.421,160.6858,11,1
60,9,0.9,42.042,369.734,186.4864,7,2
70,8,0.8,60.81,504.36,169.8096,6,2
80,8,0.8,46.385,1130.473,260.8294,8,
90,4,0.4,42.306,501.337,201.481,3,1
100,17,1.7,42.318,1404.18,294.3938,14,3
110,16,1.6,38.426,499.694,146.2601,15,1
120,28,2.8,36.858,794.627,200.3256,21,7
130,33,3.3,36.646,566.071,193.5093,28,5
140,22,2.2,36.517,483.938,163.5799,15,7
150,20,2.0,40.349,1063.407,291.2362,13,7
160,17,1.7,41.527,484.385,157.5289,15,2
170,23,2.3,42.621,1075.445,206.4554,19,4
180,20,2.0,66.2,1353.959,342.6905,15,5
190,21,2.1,42.082,971.579,247.6495,16,5
200,22,2.2,40.074,1345.187,232.7567,17,5
210,27,2.7,37.958,1097.062,255.3053,19,8
220,18,1.8,68.396,1347.776,269.3508,14,4
230,20,2.0,72.629,1353.276,335.1374,17,3
240,18,1.8,40.381,673.537,214.5721,14,4
250,17,1.7,41.132,546.656,185.2803,11,6
260,19,1.9,70.839,2632.865,579.6677,11,8
270,16,1.6,72.205,1350.088,237.5325,14,2
280,13,1.3,74.98,685.269,267.9374,6,7
290,18,1.8,67.177,1393.055,275.8255,14,4
300,15,1.5,43.331,376.453,191.3812,8,7
310,20,2.0,37.455,507.269,147.8638,17,3
320,17,1.7,40.003,1454.836,390.1259,14,3
330,9,0.9,71.936,588.133,212.0839,8,1
340,15,1.5,35.337,1342.652,401.8954,9,6
350,10,1.0,76.583,1361.968,368.6591,7,3
360,13,1.3,71.377,1312.987,216.0905,6,7
370,11,1.1,73.056,575.827,165.3343,5,6
380,9,0.9,82.817,1341.822,311.0579,6,3
390,12,1.2,71.781,367.11,122.0576,8,4
400,6,0.6,78.98,1339.906,504.6982,4,2
410,6,0.6,67.959,584.068,210.397,5,1
420,10,1.0,78.734,1367.235,425.8712,6,4
430,8,0.8,68.314,540.412,187.3621,4,4
440,5,0.5,76.276,198.015,111.3416,4,1
450,1,0.1,220.98,220.98,220.98,1,
460,6,0.6,48.856,1348.732,349.5275,5,1
470,7,0.7,41.715,620.143,294.8381,6,1
480,6,0.6,40.722,474.148,160.618,5,1
490,21,2.1,47.756,1363.146,255.9235,13,8
500,6,0.6,43.069,348.761,120.6998,5,1
510,2,0.2,78.858,598.531,338.6945,,2
520,5,0.5,76.321,396.11,171.0762,4,1
530,9,0.9,41.973,403.9,164.5057,9,
540,6,0.6,39.753,320.778,121.3637,5,1
550,7,0.7,41.252,1091.401,336.7381,5,2
560,5,0.5,106.587,540.14,269.5592,2,3
570,5,0.5,74.052,131.067,100.6688,5,
580,6,0.6,74.208,355.974,170.8593,4,2
590,7,0.7,79.239,1524.346,335.4031,6,1
600,3,0.3,88.029,369.734,192.7597,2,1
610,6,0.6,73.658,1219.417,320.8083,5,1
620,2,0.2,118.156,354.562,236.359,1,1
630,2,0.2,90.864,99.83,95.347,2,
640,3,0.3,74.28,117.305,91.087,3,
650,7,0.7,73.568,1504.333,331.5397,6,1
660,3,0.3,74.253,359.06,261.9957,1,2
670,5,0.5,117.445,1475.894,454.3584,4,1
680,3,0.3,106.305,594.426,361.095,2,1
690,8,0.8,76.731,579.025,186.4866,5,3
700,6,0.6,78.313,1628.834,646.7527,3,3
710,4,0.4,85.499,578.865,321.9233,2,2
720,2,0.2,80.909,86.485,83.697,,2
730,4,0.4,101.065,1377.655,681.7995,1,3
740,1,0.1,85.794,85.794,85.794,,1
