elapsed_time,num_reqs,num_reqs_per_sec,min_req_time,max_req_time,avg_req_time,200,302,502,504
0,491,16.3667,36.106,6482.726,586.5166,471,20,,
30,601,20.0333,23.139,22298.748,6446.4897,448,33,120,
60,699,23.3,22.867,22887.221,7415.5584,491,40,168,
90,665,22.1667,22.203,23518.901,6726.8176,450,25,190,
120,617,20.5667,22.463,29271.742,7624.0855,384,44,189,
150,625,20.8333,22.813,27394.321,6553.8712,409,33,183,
180,691,23.0333,22.165,27502.585,6432.3102,476,35,180,
210,696,23.2,22.851,26003.019,6985.5847,486,40,170,
240,696,23.2,22.029,27034.688,6680.4186,468,34,194,
270,698,23.2667,23.004,25569.093,6699.1579,507,31,160,
300,418,13.9333,23.211,27712.546,10124.5762,351,38,29,
330,315,10.5,24.2,28304.679,13494.7393,271,41,3,
360,254,8.4667,24.505,31805.335,14237.6694,170,72,12,
390,377,12.5667,27.176,32436.668,12909.8204,291,84,2,
420,430,14.3333,2881.016,17663.28,7023.4037,329,101,,
450,427,14.2333,2802.791,15533.376,6226.8987,344,83,,
480,401,13.3667,5276.914,16589.799,8647.7205,310,91,,
510,380,12.6667,4196.771,16277.49,8102.1671,306,74,,
540,413,13.7667,5065.376,17931.495,9258.437,333,80,,
570,350,11.6667,5759.111,18575.226,9650.6647,280,70,,
600,427,14.2333,6446.414,18360.059,10322.9857,342,85,,
630,402,13.4,23.198,17652.663,8672.3596,313,72,17,
660,398,13.2667,7315.228,21032.644,11982.3895,319,79,,
690,406,13.5333,24.004,22880.401,10455.1977,316,72,18,
720,433,14.4333,25.03,41469.828,9573.1349,350,73,10,
750,411,13.7,22.998,50569.993,11344.3404,310,63,38,
780,430,14.3333,5536.336,57692.394,9704.8132,362,68,,
810,419,13.9667,6363.033,44774.668,9990.0375,341,78,,
840,389,12.9667,22.774,26156.916,11654.0204,291,74,24,
870,366,12.2,22.921,25571.063,12505.9459,267,77,22,
900,948,31.6,23.484,28609.91,5455.6847,586,71,291,
930,1239,41.3,22.475,23541.178,3717.921,728,36,475,
960,1135,37.8333,22.435,25075.146,4255.8094,730,37,368,
990,1112,37.0667,22.225,34915.659,4066.5759,651,35,426,
1020,1076,35.8667,22.59,25364.152,4472.6026,639,28,409,
1050,1059,35.3,22.718,29348.219,4442.9259,635,21,403,
1080,1203,40.1,22.797,25454.574,4238.9315,731,23,449,
1110,1058,35.2667,23.375,14098.005,4402.4336,644,17,397,
1140,1029,34.3,22.362,25333.581,4509.8696,591,21,417,
1170,1122,37.4,22.391,25900.725,4258.0494,633,24,465,
1200,1283,42.7667,23.279,16138.309,3923.0182,770,17,496,
1230,1265,42.1667,23.334,26253.866,3817.2207,755,20,490,
1260,1203,40.1,22.373,25629.432,4121.7087,664,21,518,
1290,1280,42.6667,22.23,15533.576,3642.4407,695,17,568,
1320,1221,40.7,22.645,23401.88,3849.9473,653,17,551,
1350,1281,42.7,22.154,19963.966,3728.288,723,23,535,
1380,1247,41.5667,22.251,16241.8,3807.9729,740,21,486,
1410,1222,40.7333,23.195,16774.168,3889.2246,715,16,491,
1440,1179,39.3,21.933,16511.675,4358.1643,701,19,459,
1470,1258,41.9333,22.38,22790.128,3945.0469,697,16,545,
1500,442,14.7333,22.819,19798.129,7733.2987,368,18,56,
1530,253,8.4333,9847.361,25724.238,17960.6143,222,31,,
1560,202,6.7333,9924.301,37184.823,16864.9812,130,72,,
1590,185,6.1667,13102.59,36069.771,20477.9138,105,80,,
1620,362,12.0667,758.772,28339.228,4375.7198,245,117,,
1650,301,10.0333,783.597,9643.341,2900.1906,234,67,,
1680,264,8.8,1631.279,11978.023,4890.8283,192,72,,
1710,335,11.1667,876.204,10665.543,3477.3692,271,64,,
1740,190,6.3333,1992.897,21701.033,4877.857,136,54,,
1770,78,2.6,7057.529,42683.308,23439.1913,72,6,,
1800,185,6.1667,544.624,60028.245,11062.2577,153,27,,5
1830,134,4.4667,1235.91,60197.674,11023.9481,100,34,,
1860,187,6.2333,835.266,56208.309,9069.6657,159,28,,
1890,240,8.0,77.369,60023.333,5705.8967,187,51,,2
1920,287,9.5667,398.411,48800.172,5026.2762,227,60,,
1950,189,6.3,1413.089,18608.993,6441.845,132,57,,
1980,161,5.3667,3924.601,19985.995,8824.6963,111,50,,
2010,178,5.9333,1533.358,19544.137,7748.9725,85,93,,
2040,105,3.5,1684.686,41852.572,8376.0987,48,57,,
2070,153,5.1,75.411,51577.501,9900.843,53,100,,
2100,137,4.5667,70.778,57197.332,8430.8049,46,91,,
2130,121,4.0333,70.413,27871.678,2264.4346,21,100,,
2160,16,0.5333,71.725,2691.876,244.6094,1,15,,
