#date;pid;id;http method;host;URL;HTTP status;size;duration;transaction;match;error;tag
1399541587.770796;<0.585.0>;244;get;staging-lpa.service.dsd.io;/postcode/lookup?postcode=SW10+9LB;502;10079;25.676;-;match_stop;;
1399541589.687092;<0.140.0>;25;get;staging-lpa.service.dsd.io;/register/applicant;502;10079;25.932;-;match_stop;;
1399541589.733204;<0.1219.0>;552;post;staging-lpa.service.dsd.io;/user/login;502;10079;25.052;-;match_stop;;
1399541589.740724;<0.565.0>;235;post;staging-lpa.service.dsd.io;/create/add-attorney;502;10079;24.629;-;match_stop;;
1399541589.769878;<0.794.0>;346;post;staging-lpa.service.dsd.io;/create/when-to-use;502;10079;24.749;-;match_stop;;
1399541589.788459;<0.737.0>;317;get;staging-lpa.service.dsd.io;/create/add-attorney;502;10079;23.374;-;match_stop;;
1399541589.807162;<0.551.0>;227;get;staging-lpa.service.dsd.io;/postcode/lookup?postcode=SW10+9LB;502;10079;26.080;-;match_stop;;
1399541589.827465;<0.1591.0>;742;get;staging-lpa.service.dsd.io;/?autoTestKey=I5iOAmnnQaq5JPI8JHYcdXQPlI09bQnHoeAxb7xYjTe+FLPTVHZho3zK0mu41ouPmxLXJlZYi;502;10079;158.386;-;match_stop;;
1399541595.046437;<0.1623.0>;756;get;staging-lpa.service.dsd.io;/?autoTestKey=I5iOAmnnQaq5JPI8JHYcdXQPlI09bQnHoeAxb7xYjTe+FLPTVHZho3zK0mu41ouPmxLXJlZYi;502;10079;148.296;-;match_stop;;
1399541595.419266;<0.1428.0>;661;post;staging-lpa.service.dsd.io;/user/register;502;10079;26.013;-;match_stop;;
1399541595.433228;<0.952.0>;422;get;staging-lpa.service.dsd.io;/address/lookup?addressid=23911113;502;10079;28.116;-;match_stop;;
1399541605.968427;<0.467.0>;185;get;staging-lpa.service.dsd.io;/address/lookup?addressid=23911113;502;10079;24.228;-;match_stop;;
1399541606.035123;<0.1568.0>;731;post;staging-lpa.service.dsd.io;/user/register;502;10079;24.750;-;match_stop;;
1399541606.075179;<0.1361.0>;627;get;staging-lpa.service.dsd.io;/user/login;502;10079;24.046;-;match_stop;;
1399541606.141604;<0.1728.0>;807;get;staging-lpa.service.dsd.io;/?autoTestKey=I5iOAmnnQaq5JPI8JHYcdXQPlI09bQnHoeAxb7xYjTe+FLPTVHZho3zK0mu41ouPmxLXJlZYi;502;10079;162.489;-;match_stop;;
1399541606.14696;<0.1053.0>;469;post;staging-lpa.service.dsd.io;/create/lpa-type;502;10079;22.860;-;match_stop;;
1399541606.192928;<0.1023.0>;457;get;staging-lpa.service.dsd.io;/address/lookup?addressid=23911113;502;10079;24.805;-;match_stop;;
1399541606.306036;<0.1306.0>;597;post;staging-lpa.service.dsd.io;/user/login;502;10079;25.900;-;match_stop;;
1399541606.409179;<0.386.0>;147;get;staging-lpa.service.dsd.io;/create/people-to-be-told;502;10079;26.050;-;match_stop;;
1399541606.56978;<0.1238.0>;561;post;staging-lpa.service.dsd.io;/user/login;502;10079;23.564;-;match_stop;;
1399541606.657556;<0.1659.0>;773;get;staging-lpa.service.dsd.io;/user/register;502;10079;23.435;-;match_stop;;
1399541606.689999;<0.1673.0>;780;get;staging-lpa.service.dsd.io;/user/register;502;10079;25.899;-;match_stop;;
1399541608.187646;<0.1687.0>;786;get;staging-lpa.service.dsd.io;/user/register;502;10079;30.508;-;match_stop;;
1399541608.234069;<0.1205.0>;544;post;staging-lpa.service.dsd.io;/user/about-you;502;10079;27.947;-;match_stop;;
1399541608.260482;<0.1647.0>;766;get;staging-lpa.service.dsd.io;/user/register;502;10079;28.344;-;match_stop;;
1399541608.286878;<0.1759.0>;823;get;staging-lpa.service.dsd.io;/;502;10079;147.789;-;match_stop;;
1399541608.360463;<0.1348.0>;618;get;staging-lpa.service.dsd.io;/user/login;502;10079;26.345;-;match_stop;;
